,Gene1,Gene2,Count
244,STAT3,IL6R,11.0
245,PTK2B,CDC16,3.0
246,PIK3CD,PDPK1,6.0
247,SC5DL,PDPK1,6.0
248,NF1,GABRB2,2.0
249,SOS1,NRCAM,5.0
250,PTK2B,EIF2AK1,1.0
251,PIK3CD,ITGA2,1.0
252,KCNMB4,ANK1,6.0
253,SLC22A2,PDPK1,5.0
254,PRKAR2B,EXOC6,5.0
255,PPCDC,IL6R,2.0
256,STAT3,GABRB2,6.0
257,KRAS,GAB2,2.0
258,UPB1,GAB2,1.0
259,KRAS,ATF2,5.0
260,GABRB2,BTRC,1.0
261,SLCO2A1,GPX4,7.0
262,SLC22A2,PPCDC,3.0
263,OAT,EIF2AK1,7.0
264,GABRB2,EIF2AK1,4.0
265,KCNMB4,GPX4,6.0
266,PDPK1,DDOST,6.0
267,NF1,CDC16,2.0
268,PPCDC,PIK3CD,3.0
269,UPB1,STX1A,2.0
270,ITGA2,GAB2,2.0
271,KRAS,EXOC6,19.0
272,PIK3CD,ATF2,2.0
273,PDPK1,IL6R,3.0
274,SLCO2A1,PTK2B,2.0
275,SLCO4A1,GAB2,7.0
276,KCNMB4,GAB2,12.0
277,PTK2B,PIK3R3,1.0
278,OAT,KRAS,5.0
279,GPX4,ATF2,8.0
280,SLC22A2,DDOST,4.0
281,SLC22A2,CDC16,1.0
282,STX1A,NRCAM,3.0
283,SLCO4A1,GABRB2,3.0
284,PTK2B,GAB2,11.0
285,PPCDC,EIF2AK1,2.0
286,PRKAR2B,GABRB2,1.0
287,PIK3CD,NF1,1.0
288,STX1A,KRAS,2.0
289,EXOC6,ANK1,1.0
290,SOS1,IL6R,1.0
291,STX1A,NF1,4.0
292,PIK3CD,EXOC6,2.0
293,PRKAR2B,PIK3CD,8.0
294,EIF2AK1,DDOST,3.0
295,EIF2AK1,ATF2,1.0
296,EXOC6,BTRC,3.0
297,NF1,GPX4,2.0
298,SLCO2A1,IL6R,1.0
299,IRS1,CDC16,4.0
300,NF1,ATF2,1.0
301,GABRB2,DDOST,2.0
302,STAT3,CDC16,4.0
303,OAT,EXOC6,2.0
304,SOS1,PIK3R3,1.0
305,PRKAR2B,KCNMB4,2.0
306,SLCO2A1,NRCAM,3.0
307,SC5DL,IFNGR1,2.0
308,IRS1,DDOST,7.0
309,SOS1,ITGA2,3.0
310,PIK3CD,BTRC,3.0
